Year,XIU,XST,XHC,XRE,XUT,CEW,TRVL,XGD
2005,57.66090909090909,,,12.799045454545455,,,,51.52181818181818
2006,68.78166666666667,,,14.847333333333333,,,,75.98083333333334
2007,79.34333333333333,,,16.218783333333334,,,,74.63666666666667
2008,54.71416666666667,,,12.224200000000002,,7.1579,,55.28583333333333
2009,15.463333333333333,,,9.569833333333333,,6.381150000000001,,20.005
2010,17.665,,,12.854233333333333,,7.4406583333333325,,22.9875
2011,18.725833333333334,20.3775,20.26875,15.053141666666667,20.622500000000002,7.652208333333333,,24.400833333333335
2012,17.4325,22.569166666666664,22.689999999999998,16.859808333333334,20.581666666666667,7.222208333333334,,20.428333333333335
2013,18.49083333333333,28.423333333333332,29.11,16.316616666666665,19.699166666666667,8.835566666666667,,12.575833333333334
2014,21.361666666666665,35.51833333333333,35.89333333333334,16.407708333333336,20.164166666666667,10.398175,,10.909166666666666
2015,21.0675,46.865,41.899166666666666,16.228075,20.325,10.317333333333332,,9.256666666666666
2016,20.888333333333332,52.458333333333336,39.14666666666667,16.1201,21.439166666666665,10.755933333333333,,13.2425
2017,23.069166666666664,54.26583333333334,42.83083333333334,16.447366666666667,22.905,12.766599999999999,,12.631666666666668
2018,23.39916666666667,54.219166666666666,46.20083333333333,17.25875,20.983333333333334,12.896458333333333,,11.133333333333333
2019,24.661666666666665,62.767500000000005,48.91916666666666,19.370783333333332,24.506666666666664,13.143275000000001,,13.798333333333332
2020,24.128333333333334,63.5375,53.97083333333333,15.976716666666666,27.167083333333334,11.792233333333334,,20.140833333333333
2021,29.879166666666666,70.05499999999999,63.69083333333333,19.13618333333333,29.90416666666667,15.790766666666665,21.826363636363638,18.213333333333335
2022,30.756666666666664,80.14916666666666,65.45333333333333,18.015833333333333,30.50916666666667,15.635833333333332,18.695833333333333,17.3975
2023,30.694166666666664,86.05083333333334,65.91,16.287499999999998,26.570833333333336,15.674999999999999,21.104166666666668,17.889166666666664
2024,31.98,91.13,68.56,16.2,25.41,16.41,23.42,16.21
