"Income, consumption and savings",2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Household disposable income,"615,286","642,584","663,239","695,238","721,510","774,375","816,321","862,404","884,783","928,091","962,102","1,001,254","1,046,791","1,081,654","1,129,875","1,132,763","1,189,366","1,224,919","1,280,362","1,387,360","1,444,569","1,520,693"
Compensation of employees,"574,278","596,782","620,600","656,154","692,609","737,321","782,564","818,108","810,556","835,940","881,146","921,492","959,181","996,247","1,024,742","1,024,142","1,066,523","1,122,304","1,168,597","1,155,842","1,264,592","1,383,129"
Net mixed income,"107,636","111,748","116,533","122,301","125,661","131,002","138,842","143,917","144,671","151,130","157,679","162,931","167,712","172,078","177,994","183,581","190,323","195,618","207,999","207,211","217,267","237,720"
Property income received,"116,942","109,346","108,675","113,209","122,970","137,105","153,667","160,013","152,106","152,519","162,165","170,336","175,342","181,876","198,218","189,502","202,189","202,278","217,587","212,221","215,883","241,202"
Less: property income paid,"41,204","37,300","39,081","40,156","43,309","52,632","61,313","63,921","55,559","54,143","54,580","55,598","56,232","55,857","56,033","56,405","60,186","70,213","79,808","72,579","66,922","85,866"
Current transfers received,"145,676","147,574","153,189","160,966","165,651","182,779","194,544","204,188","218,275","232,400","236,877","246,062","258,527","266,153","288,200","307,078","320,918","334,066","346,107","468,640","442,548","423,818"
Less: current transfers paid,"288,042","285,566","296,677","317,236","342,072","361,200","391,983","399,901","385,266","389,755","421,185","443,969","457,739","478,843","503,246","515,135","530,401","559,134","580,120","583,975","628,799","679,310"
Social transfers in kind (STiK),"160,186","169,696","178,804","186,454","196,284","210,433","221,609","237,315","248,043","257,248","270,314","276,781","284,952","293,102","302,807","312,884","324,515","336,961","349,855","369,336","396,554","429,133"
Social transfers in kind (STiK): education,"54,355","56,821","59,163","61,929","65,407","70,876","72,755","76,991","80,679","83,671","87,614","88,828","91,034","93,513","95,214","97,284","101,239","105,131","108,075","112,949","114,611","122,578"
Social transfers in kind (STiK): health,"73,275","77,820","83,061","86,672","90,590","96,801","104,198","111,759","118,734","124,275","130,683","134,448","139,633","144,998","150,809","155,903","161,159","165,903","172,933","185,450","210,157","227,467"
Social transfers in kind (STiK): other,"32,556","35,055","36,580","37,853","40,287","42,756","44,656","48,565","48,630","49,302","52,017","53,505","54,285","54,591","56,784","59,697","62,117","65,927","68,847","70,937","71,786","79,088"
